"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","oldname","size","othersize1","othersize2","othersize3","biggestsize","dollarvalue","perml","per30ml"
1,"https://www.mecca.com/en-au/skincare/facial-serums/?page=1","https://www.mecca.com/en-au/moon-juice/plump-jelly-hydrating-serum-I-047498/?cgpath=skincare-serums",9,"Moon Juice","plump jelly hydrating serum","$96.00","4.6","(42 reviews)",NA,NA,NA,"Plump Jelly Hydrating Serum",0,0,0,0,0,96,NA,NA
1,"https://www.mecca.com/en-au/skincare/facial-serums/?page=1","https://www.mecca.com/en-au/emma-lewisham/supernatural-blemish-face-serum-with-live-skin-probiotic-V-064188/?cgpath=skincare-serums",9,"Emma Lewisham","supernatural blemish face serum with live skin probiotic","$125.00 - $135.00","3.4","(20 reviews)","refill ",NA,NA,"Supernatural Blemish Face Serum with Live Skin Probiotic",0,0,0,0,0,135,NA,NA
1,"https://www.mecca.com/en-au/skincare/facial-serums/?page=1","https://www.mecca.com/en-au/sunday-riley/b3-nice-10-niacinamide-serum-I-061609/?cgpath=skincare-serums",9,"Sunday Riley","b3 nice 10% niacinamide serum","$108.00","5.0","(43 reviews)",NA,NA,NA,"B3 Nice 10% Niacinamide Serum",0,0,0,0,0,108,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/mecca-cosmetica/hyaluronic-acid-hydration-serum-I-050460/?cgpath=skincare-serums",9,"MECCA COSMETICA","hyaluronic acid hydration serum","$55.00","4.6","(345 reviews)",NA,NA,NA,"Hyaluronic Acid Hydration Serum",0,0,0,0,0,55,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/drunk-elephant/c-firma-fresh-day-serum-I-050794/?cgpath=skincare-serums",9,"Drunk Elephant","c-firma™ fresh day serum","$129.00","4.3","(575 reviews)",NA,NA,NA,"C-Firma™ Fresh Day Serum",0,0,0,0,0,129,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/dr-dennis-gross/advanced-retinol-ferulic-triple-correction-eye-serum-I-052373/?cgpath=skincare-serums",9,"Dr. Dennis Gross","advanced retinol + ferulic triple correction eye serum","$115.00","4.7","(154 reviews)",NA,NA,NA,"Advanced Retinol + Ferulic Triple Correction Eye Serum",0,0,0,0,0,115,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/glow-recipe/strawberry-bha-pore-smooth-blur-drops-I-058171/?cgpath=skincare-serums",9,"Glow Recipe","strawberry bha pore-smooth blur drops™","$53.00","4.6","(416 reviews)",NA,NA,NA,"Strawberry BHA Pore-Smooth Blur Drops™",0,0,0,0,0,53,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/dr-dennis-gross/advanced-retinol-ferulic-overnight-wrinkle-treatment-I-052375/?cgpath=skincare-serums",9,"Dr. Dennis Gross","advanced retinol + ferulic overnight wrinkle treatment","$141.00","4.8","(74 reviews)",NA,NA,NA,"Advanced Retinol + Ferulic Overnight Wrinkle Treatment",0,0,0,0,0,141,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/summer-fridays/dream-oasis-deep-hydration-serum-I-054944/?cgpath=skincare-serums",9,"Summer Fridays","dream oasis deep hydration serum","$73.00","4.7","(69 reviews)",NA,NA,NA,"Dream Oasis Deep Hydration Serum",0,0,0,0,0,73,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/tatcha/the-serum-stick-I-041921/?cgpath=skincare-serums",9,"Tatcha","the serum stick","$80.00","4.6","(52 reviews)",NA,NA,NA,"The Serum Stick",0,0,0,0,0,80,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/dr-dennis-gross/advanced-retinol-ferulic-texture-renewal-serum-I-052374/?cgpath=skincare-serums",9,"Dr. Dennis Gross","advanced retinol + ferulic texture renewal serum","$120.00","4.6","(90 reviews)",NA,NA,NA,"Advanced Retinol + Ferulic Texture Renewal Serum",0,0,0,0,0,120,NA,NA
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/tatcha/the-silk-serum-I-059911/?cgpath=skincare-serums",9,"Tatcha","the silk serum 30g","$146.00","4.8","(8 reviews)",NA,NA,NA,"The Silk Serum 30g",0,0,0,0,0,146,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/mario-badescu/anti-acne-serum-I-005007/?cgpath=skincare-serums",9,"Mario Badescu","anti-acne serum 28g","$33.00","4.3","(163 reviews)",NA,NA,NA,"Anti-Acne Serum 28g",0,0,0,0,0,33,NA,NA
