"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","size4","size5","oldname","size","othersize1","othersize2","othersize3","othersize4","othersize5","biggestsize","dollarvalue","perml","per50ml"
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/estee-lauder/revitalizing-supreme-night-power-bounce-creme-V-065530/?cgpath=skincare-moisturiser",11,"Estée Lauder","revitalizinml supreme+ nimlht power bounce creme 75ml","$231.00","0","(Write a review)","75ml ",NA,"2 ",NA,NA,"Revitalizing Supreme+ Night Power Bounce Creme 75ml",75,75,0,0,0,0,75,231,3.08,154
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/elizabeth-arden/retinol-hpr-ceramide-water-cream-I-064525/?cgpath=skincare-moisturiser",11,"Elizabeth Arden","retinol + hpr ceramide water cream 50ml","$155.00","4.7","(657 reviews)",NA,NA,NA,"4 ","5 ","Retinol + HPR Ceramide Water Cream 50ml",50,0,0,0,0,0,50,155,3.1,155
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/elizabeth-arden/advanced-ceramide-lift-firm-night-cream-50ml-I-057847/?cgpath=skincare-moisturiser",11,"Elizabeth Arden","advanced ceramide lift & firm nimlht cream 50ml 50ml","$155.00","4.7","(126 reviews)",NA,NA,NA,"4 ","5 ","Advanced Ceramide Lift & Firm Night Cream 50ml 50ml",50,0,0,0,0,0,50,155,3.1,155
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/yves-saint-laurent/pure-shots-perfect-plumper-rich-cream-V-049631/?cgpath=skincare-moisturiser",11,"Yves Saint Laurent","pure shots perfect plumper rich cream 50ml","$155.00","5.0","(3 reviews)","50ml ",NA,"2 ",NA,NA,"Pure Shots Perfect Plumper Rich Cream 50ml",50,50,0,0,0,0,50,155,3.1,155
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/malin-goetz/advanced-renewal-cream-I-031643/?cgpath=skincare-moisturiser",11,"MALIN+GOETZ","advanced renewal cream 50ml","$156.00","5.0","(4 reviews)",NA,NA,NA,"4 ","5 ","Advanced Renewal Cream 50ml",50,0,0,0,0,0,50,156,3.12,156
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/hourglass/equilibrium-restorative-hydrating-cream-I-051841/?cgpath=skincare-moisturiser",11,"HOURGLASS","equilibrium restorative hydratinml cream 50ml","$156.00","5.0","(1 reviews)",NA,NA,NA,"4 ","5 ","Equilibrium Restorative Hydrating Cream 50g",50,0,0,0,0,0,50,156,3.12,156
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/verso/night-cream-V-020395/?cgpath=skincare-moisturiser",11,"VERSO","nimlht cream","$53.00 - $158.00","4.6","(51 reviews)","15ml ","50ml ","1 ","2 ","3 ","Night Cream",0,15,50,0,0,0,50,158,3.16,158
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/verso/day-cream-I-061884/?cgpath=skincare-moisturiser",11,"VERSO","day  cream 50ml","$158.00","5.0","(3 reviews)",NA,NA,NA,"4 ","5 ","Day  Cream 50ml",50,0,0,0,0,0,50,158,3.16,158
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/herbario/moisturising-balm-I-039164/?cgpath=skincare-moisturiser",11,"Herbario","moisturisinml balm 30ml","$95.00","5.0","(2 reviews)",NA,NA,NA,"4 ","5 ","Moisturising Balm 30ml",30,0,0,0,0,0,30,95,3.16666666666667,158.333333333333
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/shiseido/vital-perfection-uplifting-firming-advanced-soft-cream-I-065625/?cgpath=skincare-moisturiser",11,"Shiseido","vital perfection upliftinml & firminml advanced soft cream 50ml","$159.00","5.0","(2 reviews)",NA,NA,NA,"4 ","5 ","Vital Perfection Uplifting & Firming Advanced Soft Cream 50ml",50,0,0,0,0,0,50,159,3.18,159
